screen_id,organism,experimental_setup,condition_name,condition_class,growth_direction,readout_type,method,current_domain,needs_llm,needs_review
422,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
844,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
940,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1451,Homo sapiens,Drug Exposure,Rituximab,drug,suppressing,survival,setup,stress,0,0
2005,Homo sapiens,Drug Exposure,KH-CB19,drug,suppressing,survival,setup,stress,0,0
2475,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
423,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
845,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
941,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1452,Homo sapiens,Drug Exposure,Rituximab,drug,suppressing,survival,setup,stress,0,0
2006,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2 (isolate USA-WA1/2020),pathogen,suppressing,survival,setup,stress,0,0
2476,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
424,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
846,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
942,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1453,Homo sapiens,Drug Exposure,EPZ015666 (GSK3235025),drug,suppressing,survival,setup,stress,0,0
2007,Homo sapiens,Drug Exposure,Paclitaxel (Taxol),drug,suppressing,survival,setup,stress,0,0
2478,Homo sapiens,Virus Exposure,Virus: Heartland virus (HRTV) (Strain: MO4),pathogen,suppressing,survival,setup,stress,0,0
425,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
847,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
943,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1454,Homo sapiens,Drug Exposure,Hydrogen Peroxide (H2O2),drug,suppressing,survival,setup,stress,0,0
2008,Homo sapiens,Drug Exposure,Cisplatin,drug,suppressing,survival,setup,stress,0,0
2479,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
