screen_id,organism,condition_class,growth_direction,readout_type,sign_convention,source,status,current_domain,new_domain,domain_changed
2340,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
297,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
721,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1299,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1845,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2341,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
298,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
722,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2342,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1300,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1846,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
299,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1302,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
723,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1301,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1847,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2343,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
300,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
724,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1848,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2344,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
301,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
725,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1303,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1849,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2345,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
302,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
726,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1304,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
