gene,tier,specific,channels,n_cohit,n_cohit_pubs,odds_ratio,cohit_q,spec_enrichment,spec_q,rho,n_coess,coess_q,n_shared_pubs,hit_freq_all,is_core_essential,strength
Gmps,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.52,8.387e-02,0.4331,31,2.454e-01,6,0.2642,False,0.7717
Med30,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.7,8.387e-02,0.4238,31,2.594e-01,6,0.2473,False,0.7698
Nelfcd,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.45,8.773e-02,0.4214,31,2.638e-01,6,0.2717,False,0.7693
Iars,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.16,9.443e-02,0.4065,31,2.893e-01,6,0.3084,False,0.7664
Cdc20,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.25,9.440e-02,0.3774,31,3.426e-01,6,0.2963,False,0.7605
Pdrg1,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.44,8.834e-02,0.3742,31,3.463e-01,6,0.2737,False,0.7599
Hist1h2bj,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.16,9.519e-02,0.3742,31,3.463e-01,6,0.3091,False,0.7599
Gtf2h3,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.65,8.387e-02,0.3335,31,4.334e-01,6,0.2519,False,0.7518
Exosc1,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.21,9.440e-02,0.3177,31,4.627e-01,6,0.3019,False,0.7486
Eif3d,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.12,9.899e-02,0.3169,31,4.642e-01,6,0.3143,False,0.7484
Clns1a,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.14,9.643e-02,0.3145,31,4.687e-01,6,0.3113,False,0.748
Mob4,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.35,9.393e-02,0.3121,31,4.718e-01,6,0.2841,False,0.7475
